sale_id,date_sales,community,brand,model,units,unit_price,total_amount
53,10/3/2023,Cataluña,Motorola,G82,3,294.29,882.87
54,7/11/2024,Andalucia,Samsung,Galaxy Z Flip,3,906.04,2718.12
55,11/1/2025,Galicia,Xiaomi,Redmi Note 12,4,463.9,1855.6
56,7/20/2024,,Samsung,Galaxy S21,1,154.43,154.43
57,11/27/2023,Galicia,Apple,iPhone 15,4,839.6,3358.4
58,,Madrid,OPPO,A78,1,1331.31,1331.31
59,1/26/2025,Madrid,Apple,iPhone 15,5,840.66,4203.3
60,9/23/2024,Madrid,OPPO,Reno 8,3,1273.73,3821.19
61,5/26/2024,Valencia,Samsung,Galaxy A54,1,592.1,592.1
62,4/29/2024,Andalucia,Motorola,G82,2,1370.26,2740.52
63,1/3/2024,Madrid,Apple,iPhone 14,3,1127.98,3383.94
64,6/30/2024,Valencia,OPPO,A78,2,1134.22,2268.44
65,8/21/2025,Madrid,Samsung,Galaxy A54,2,399.47,798.94
66,4/11/2024,Galicia,OPPO,Find X5,2,179.58,359.16
67,7/24/2024,Castilla y Leon,Apple,iPhone 14,1,1358.61,1358.61
68,11/9/2024,Pais Vasco,Xiaomi,Mi 11,1,294.18,294.18
69,3/20/2023,Galicia,Xiaomi,Redmi Note 12,1,895.71,895.71
70,6/12/2025,Castilla y Leon,Xiaomi,Poco X5,5,1380.29,6901.45
71,6/5/2024,Valencia,Samsung,Galaxy A54,1,1035.98,1035.98
72,1/15/2025,Valencia,Samsung,Galaxy Z Flip,4,237.47,949.88
73,9/13/2023,Castilla y Leon,Xiaomi,Poco X5,3,783.9,2351.7
74,8/28/2024,Pais Vasco,OPPO,Find X5,5,309.11,1545.55
75,12/23/2023,Pais Vasco,OPPO,A78,5,861.38,4306.9
76,9/14/2024,Madrid,OPPO,A78,3,412.73,1238.19
77,8/10/2025,Castilla y Leon,Motorola,Razr 40,4,702.7,2810.8
78,12/14/2023,Castilla La Mancha,Apple,iPhone 15,1,504.73,504.73
79,4/26/2024,Cataluña,Motorola,G82,3,430.8,1292.4
80,4/5/2023,Madrid,Apple,iPhone 13,2,1379.92,2759.84
81,4/28/2025,Castilla La Mancha,Motorola,Edge 40,5,393.04,1965.2
82,5/14/2024,Pais Vasco,OPPO,Find X5,2,970.07,1940.14
83,3/24/2024,Pais Vasco,Samsung,Galaxy S21,2,1155.14,2310.28
84,5/25/2024,Madrid,Motorola,G82,1,720.58,720.58
85,6/25/2025,Castilla y Leon,OPPO,A78,5,1168.76,5843.8
86,11/22/2023,Castilla La Mancha,Motorola,G82,4,712.59,2850.36
87,12/3/2025,Galicia,Apple,iPhone 15,4,933.44,3733.76
88,8/8/2024,Cataluña,Xiaomi,Mi 11,2,489.64,979.28
89,10/11/2023,Cataluña,Xiaomi,Poco X5,2,439.08,878.16
90,5/12/2023,Valencia,Apple,iPhone 15,4,659.5,2638
91,5/8/2023,Pais Vasco,Motorola,G82,2,1191.11,2382.22
92,2/18/2025,Madrid,OPPO,A78,4,157.37,629.48
93,5/8/2025,Pais Vasco,Xiaomi,Mi 11,5,1084.39,5421.95
94,9/26/2025,Valencia,Motorola,Razr 40,2,491.17,982.34
95,11/19/2024,Pais Vasco,OPPO,Reno 8,4,1055.23,4220.92
96,3/17/2025,Madrid,OPPO,Reno 8,5,855.49,4277.45
97,10/5/2023,Pais Vasco,Samsung,Galaxy S21,4,377.16,1508.64
98,3/9/2024,Castilla y Leon,Xiaomi,Mi 11,4,558.56,2234.24
99,5/31/2024,Pais Vasco,OPPO,Find X5,1,737.88,737.88
100,4/4/2024,Castilla y Leon,Motorola,Edge 40,1,1126.54,1126.54
101,2/13/2024,Valencia,Samsung,Galaxy S21,1,926.67,926.67
102,8/23/2023,Castilla La Mancha,Apple,iPhone 13,5,1334.7,6673.5
103,1/25/2025,Galicia,OPPO,A78,2,907.37,1814.74
104,8/10/2023,Galicia,Samsung,Galaxy S21,5,182.1,910.5
105,3/23/2025,Pais Vasco,Xiaomi,Poco X5,2,245,490
106,9/5/2023,Galicia,Apple,iPhone 13,5,1128.29,5641.45
107,1/28/2025,Pais Vasco,Xiaomi,Poco X5,1,782.45,782.45
108,9/30/2025,Pais Vasco,Xiaomi,Redmi Note 12,1,691.9,691.9
109,11/10/2023,Castilla La Mancha,Xiaomi,Poco X5,4,370.17,1480.68
110,9/17/2025,Galicia,Motorola,Razr 40,4,694.47,2777.88
111,5/17/2024,Castilla y Leon,Motorola,G82,1,498.66,498.66
112,2/15/2025,Castilla La Mancha,OPPO,Reno 8,3,185.87,557.61
113,3/10/2024,Castilla La Mancha,Xiaomi,Redmi Note 12,3,1147.29,3441.87
114,1/21/2023,Galicia,Xiaomi,Mi 11,5,1335.08,6675.4
115,9/27/2025,Pais Vasco,Samsung,Galaxy S21,5,1097.71,5488.55
116,7/6/2025,Castilla La Mancha,OPPO,A78,1,266.32,266.32
117,9/19/2024,Valencia,Apple,iPhone 14,5,611.28,3056.4
118,5/21/2025,Castilla y Leon,Motorola,Razr 40,5,563.49,2817.45
119,5/29/2024,Galicia,OPPO,Find X5,2,300.82,601.64
120,1/15/2024,Cataluña,Apple,iPhone 14,2,420.48,840.96
121,7/25/2023,Galicia,OPPO,Find X5,2,520.31,1040.62
122,1/29/2023,Galicia,Xiaomi,Redmi Note 12,5,308.23,1541.15
123,9/16/2023,Galicia,Samsung,Galaxy S21,4,278.23,1112.92
124,8/19/2025,Galicia,Samsung,Galaxy Z Flip,4,700.59,2802.36
125,9/5/2025,Galicia,Apple,iPhone 13,1,1177.64,1177.64
126,4/20/2023,Cataluña,OPPO,Find X5,2,336.5,673
127,5/23/2024,Cataluña,Motorola,G82,1,847.59,847.59
128,12/6/2025,Valencia,OPPO,A78,4,713.14,2852.56
129,9/17/2024,Pais Vasco,OPPO,Find X5,5,926.28,4631.4
130,3/1/2024,Cataluña,Motorola,Razr 40,2,480.81,961.62
131,12/22/2023,Valencia,Samsung,Galaxy S21,5,243.83,1219.15
132,8/20/2025,Castilla La Mancha,Samsung,Galaxy A54,3,190.8,572.4
133,7/18/2025,Galicia,Xiaomi,Poco X5,1,1009.23,1009.23
134,,Valencia,Xiaomi,Poco X5,1,830.7,830.7
135,5/27/2023,Andalucia,Apple,iPhone 14,1,357.4,357.4
136,6/18/2025,Galicia,Xiaomi,Poco X5,1,735.87,735.87
137,7/11/2024,Pais Vasco,Xiaomi,Poco X5,5,824.98,4124.9
138,6/3/2025,Madrid,OPPO,Reno 8,3,904.64,2713.92
139,2/12/2023,Valencia,Samsung,Galaxy S21,3,870.31,2610.93
140,7/23/2024,Castilla La Mancha,Apple,iPhone 14,2,1396.18,2792.36
141,7/6/2023,Castilla La Mancha,OPPO,A78,4,584.95,2339.8
142,11/26/2023,Cataluña,Xiaomi,Mi 11,3,664.56,1993.68
143,3/17/2023,Pais Vasco,OPPO,Find X5,4,260.07,1040.28
144,4/7/2025,Cataluña,Xiaomi,Mi 11,5,1181.16,5905.8
145,4/26/2025,Castilla La Mancha,Samsung,Galaxy Z Flip,1,384.48,384.48
146,6/24/2025,Castilla La Mancha,Xiaomi,Poco X5,1,404.45,404.45
147,6/16/2025,Galicia,Motorola,Edge 40,4,301.78,1207.12
148,9/28/2024,Andalucia,Motorola,Edge 40,5,167.09,835.45
149,8/21/2023,Valencia,OPPO,Reno 8,4,1333.83,5335.32
150,11/8/2025,Galicia,Apple,iPhone 14,3,669.36,2008.08
151,7/24/2025,Valencia,OPPO,Find X5,5,330.8,1654
152,5/23/2023,Andalucia,Apple,iPhone 15,3,1115.84,3347.52
153,1/6/2023,Galicia,OPPO,Find X5,3,1057.56,3172.68
154,11/1/2023,Castilla La Mancha,Motorola,Razr 40,4,823.23,3292.92
155,7/21/2025,Pais Vasco,Xiaomi,Mi 11,3,1237,3711
156,4/23/2024,Pais Vasco,Apple,iPhone 15,4,204.56,818.24
157,3/1/2025,Pais Vasco,OPPO,A78,2,769.16,1538.32
158,7/25/2023,Castilla y Leon,Samsung,Galaxy S21,4,274.64,1098.56
159,4/19/2025,Andalucia,OPPO,Reno 8,2,243.54,487.08
160,6/14/2023,Pais Vasco,Xiaomi,Mi 11,3,1215.43,3646.29
161,9/26/2025,Castilla y Leon,Motorola,G82,5,194.87,974.35
162,4/10/2024,Galicia,Samsung,Galaxy S21,1,692.46,692.46
163,6/27/2025,Cataluña,Samsung,Galaxy Z Flip,2,1017.5,2035
164,4/25/2023,Castilla y Leon,Samsung,Galaxy S21,3,598.08,1794.24
165,12/23/2025,Valencia,OPPO,Reno 8,4,857.41,3429.64
166,6/11/2023,Andalucia,Apple,iPhone 13,5,1238.55,6192.75
167,10/16/2025,Valencia,Motorola,Razr 40,5,328.9,1644.5
168,7/30/2025,Galicia,OPPO,A78,3,983.55,2950.65
169,6/1/2023,Andalucia,OPPO,Find X5,4,1331.54,5326.16
170,5/27/2024,Pais Vasco,Motorola,G82,4,1206.63,4826.52
171,8/7/2023,Castilla La Mancha,Apple,iPhone 14,2,626.71,1253.42
172,8/27/2024,Galicia,Xiaomi,Poco X5,1,1372.43,1372.43
173,4/11/2023,Madrid,OPPO,Find X5,5,1081.47,5407.35
174,3/24/2024,Castilla y Leon,Xiaomi,Redmi Note 12,2,926.11,1852.22
175,3/22/2023,Cataluña,Apple,iPhone 15,3,1135.76,3407.28
176,9/27/2023,Castilla y Leon,Samsung,Galaxy Z Flip,1,1287.03,1287.03
177,12/26/2023,Pais Vasco,Xiaomi,Poco X5,2,315.2,630.4
178,12/3/2023,Galicia,Motorola,G82,3,1292.56,3877.68
179,8/24/2023,Castilla y Leon,OPPO,Find X5,4,1353.62,5414.48
180,1/19/2025,Pais Vasco,Apple,iPhone 13,1,1138.35,1138.35
181,7/20/2025,Cataluña,Samsung,Galaxy A54,3,991.04,2973.12
182,1/30/2025,Pais Vasco,Xiaomi,Poco X5,1,993.55,993.55
183,3/29/2024,Castilla y Leon,OPPO,Reno 8,1,944.25,944.25
184,4/16/2025,Galicia,OPPO,A78,1,324.72,324.72
185,8/26/2023,Castilla La Mancha,Samsung,Galaxy A54,1,443.5,443.5
186,7/18/2025,Pais Vasco,Motorola,Edge 40,3,988.11,2964.33
187,4/29/2025,Andalucia,Motorola,G82,1,1192.12,1192.12
188,3/9/2023,Galicia,Motorola,G82,3,421.59,1264.77
189,7/23/2023,Castilla y Leon,OPPO,Reno 8,3,830.58,2491.74
190,7/19/2024,Pais Vasco,Xiaomi,Redmi Note 12,2,1360.26,2720.52
191,2/13/2023,Valencia,OPPO,Reno 8,1,1133.49,1133.49
192,5/21/2023,Valencia,Apple,iPhone 13,5,408.95,2044.75
193,10/30/2023,Castilla y Leon,Apple,iPhone 13,5,153.54,767.7
194,12/24/2023,Galicia,Apple,iPhone 13,1,976.32,976.32
195,1/3/2025,Madrid,Samsung,Galaxy S21,2,886.07,1772.14
196,4/18/2023,Galicia,Samsung,Galaxy S21,2,1077.15,2154.3
197,9/2/2025,Cataluña,Motorola,Edge 40,4,1122.52,4490.08
198,7/14/2025,Cataluña,Motorola,Razr 40,5,426.94,2134.7
199,7/27/2025,Galicia,Motorola,Edge 40,1,226.03,226.03
200,8/10/2023,Pais Vasco,OPPO,Find X5,4,1040.5,4162
201,10/21/2024,Cataluña,OPPO,Reno 8,5,335.42,1677.1
202,2/19/2025,Castilla y Leon,Apple,iPhone 14,5,813.2,4066
203,7/23/2023,Pais Vasco,OPPO,A78,1,1215.99,1215.99
204,5/30/2025,Valencia,Motorola,Razr 40,4,1260.11,5040.44
205,3/27/2025,Castilla La Mancha,OPPO,Find X5,4,1062.02,4248.08
206,6/6/2024,Castilla y Leon,Xiaomi,Mi 11,3,1341.99,4025.97
207,6/24/2023,Cataluña,OPPO,Reno 8,1,689.85,689.85
208,11/6/2024,Madrid,Xiaomi,Redmi Note 12,1,663.51,663.51
209,8/12/2024,Madrid,OPPO,A78,5,540.56,2702.8
210,11/13/2023,Valencia,Samsung,Galaxy Z Flip,4,430.31,1721.24
211,8/24/2023,Castilla y Leon,Samsung,Galaxy A54,3,867.63,2602.89
212,7/1/2024,Madrid,OPPO,A78,1,375.52,375.52
213,1/13/2023,Castilla y Leon,Xiaomi,Mi 11,2,1237.33,2474.66
214,5/23/2023,Pais Vasco,Motorola,Razr 40,2,1076.21,2152.42
215,2/9/2025,Valencia,Samsung,Galaxy S21,4,717.06,2868.24
216,10/26/2024,Galicia,Apple,iPhone 14,5,895.28,4476.4
217,4/12/2023,Andalucia,Samsung,Galaxy S21,1,490.13,490.13
218,4/28/2025,Castilla La Mancha,OPPO,Find X5,3,419.46,1258.38
219,5/30/2025,Castilla y Leon,Motorola,Edge 40,1,504.06,504.06
220,4/4/2023,Galicia,Motorola,G82,2,644.08,1288.16
221,2/23/2024,Madrid,Motorola,Edge 40,3,1331.66,3994.98
222,11/2/2024,Galicia,Apple,iPhone 14,1,159.66,159.66
223,2/17/2025,Andalucia,OPPO,Reno 8,5,1029.59,5147.95
224,5/28/2023,Castilla y Leon,Motorola,Razr 40,4,1227.21,4908.84
225,7/30/2025,Madrid,Samsung,Galaxy A54,1,1227.64,1227.64
226,5/5/2025,Pais Vasco,Motorola,G82,3,293.97,881.91
227,7/31/2025,Andalucia,Samsung,Galaxy A54,3,260.16,780.48
228,3/31/2025,Pais Vasco,Samsung,Galaxy S21,5,248.31,1241.55
229,3/29/2024,Castilla y Leon,Xiaomi,Poco X5,3,1123.9,3371.7
230,12/22/2025,Cataluña,Samsung,Galaxy Z Flip,5,392.38,1961.9
231,4/28/2024,Andalucia,Xiaomi,Mi 11,1,333.06,333.06
232,6/4/2023,Andalucia,Apple,iPhone 13,2,1339.12,2678.24
233,10/23/2024,Castilla La Mancha,OPPO,Find X5,3,338.7,1016.1
234,9/12/2024,Castilla La Mancha,Samsung,Galaxy A54,3,889.27,2667.81
235,9/27/2024,Cataluña,Xiaomi,Poco X5,4,714.89,2859.56
236,6/7/2023,Galicia,Samsung,Galaxy A54,1,918.76,918.76
237,3/26/2023,Castilla La Mancha,Motorola,G82,4,1286.31,5145.24
238,10/20/2024,Valencia,Motorola,Razr 40,5,744.54,3722.7
239,7/31/2023,Castilla La Mancha,Apple,iPhone 13,3,1377.98,4133.94
240,3/22/2023,Andalucia,Samsung,Galaxy Z Flip,2,1034.53,2069.06
241,1/15/2025,Andalucia,OPPO,A78,3,1297.42,3892.26
242,4/18/2023,Castilla y Leon,OPPO,Find X5,3,232.39,697.17
243,8/4/2024,Pais Vasco,Samsung,Galaxy Z Flip,3,1054.67,3164.01
244,6/16/2023,Castilla y Leon,Motorola,Edge 40,5,979.52,4897.6
245,9/22/2023,Pais Vasco,Xiaomi,Mi 11,5,1036.04,5180.2
246,11/3/2024,Pais Vasco,Samsung,Galaxy A54,2,987.65,1975.3
247,11/7/2025,Pais Vasco,Motorola,Edge 40,3,172.79,518.37
248,11/30/2024,Valencia,Xiaomi,Redmi Note 12,4,390.01,1560.04
249,8/28/2024,Cataluña,Apple,iPhone 13,1,784.61,784.61
250,11/20/2024,Madrid,Motorola,Razr 40,5,313.81,1569.05
251,1/6/2024,Andalucia,OPPO,Reno 8,5,1161.3,5806.5
252,3/31/2023,Castilla La Mancha,Apple,iPhone 15,4,605.37,2421.48
253,7/8/2025,Galicia,Apple,iPhone 14,2,817.51,1635.02
254,1/23/2025,Valencia,Xiaomi,Mi 11,5,1380.55,6902.75
255,10/26/2025,Pais Vasco,OPPO,Find X5,5,673.33,3366.65
256,5/27/2024,Andalucia,Apple,iPhone 13,1,951.47,951.47
257,11/22/2025,Cataluña,Xiaomi,Poco X5,1,506.33,506.33
258,11/17/2025,Castilla La Mancha,Apple,iPhone 14,2,1188.81,2377.62
259,12/16/2024,Castilla La Mancha,Samsung,Galaxy S21,1,668.62,668.62
260,4/27/2024,Castilla y Leon,OPPO,A78,4,1393.16,5572.64
261,10/14/2024,Madrid,Xiaomi,Redmi Note 12,1,1198.97,1198.97
262,3/20/2023,Andalucia,Xiaomi,Redmi Note 12,3,1296.75,3890.25
263,8/18/2025,Andalucia,OPPO,A78,4,919.19,3676.76
264,3/17/2024,Galicia,Samsung,Galaxy S21,2,836.01,1672.02
265,8/16/2023,Pais Vasco,Motorola,Razr 40,3,447.05,1341.15
266,5/9/2025,Valencia,Samsung,Galaxy S21,5,721.39,3606.95
267,11/21/2025,Madrid,Samsung,Galaxy A54,5,452.42,2262.1
268,1/4/2023,Pais Vasco,Apple,iPhone 14,5,591.02,2955.1
269,6/25/2023,Andalucia,Motorola,G82,5,1368.32,6841.6
270,3/10/2025,Madrid,Samsung,Galaxy Z Flip,4,204.42,817.68
271,2/3/2023,Galicia,OPPO,Find X5,3,1135.65,3406.95
272,11/11/2024,Cataluña,Xiaomi,Redmi Note 12,2,205.42,410.84
273,8/9/2025,Andalucia,Motorola,G82,4,939.67,3758.68
274,3/17/2023,Castilla La Mancha,Apple,iPhone 13,3,401.99,1205.97
275,9/27/2024,Castilla y Leon,Apple,iPhone 13,5,647.78,3238.9
276,3/16/2023,Galicia,Motorola,G82,2,507.64,1015.28
277,7/13/2024,Castilla y Leon,Samsung,Galaxy Z Flip,1,1149.18,1149.18
278,3/2/2025,Castilla La Mancha,OPPO,Find X5,3,1367.15,4101.45
279,1/22/2025,Castilla La Mancha,OPPO,A78,5,483.4,2417
280,6/11/2023,Pais Vasco,Samsung,Galaxy Z Flip,4,903.07,3612.28
281,10/19/2024,Galicia,Apple,iPhone 15,1,250.09,250.09
282,5/22/2025,Castilla La Mancha,Xiaomi,Mi 11,2,1012.21,2024.42
283,12/23/2024,Madrid,Xiaomi,Mi 11,5,1397.69,6988.45
284,6/3/2023,Madrid,Xiaomi,Poco X5,4,604.14,2416.56
285,6/16/2025,Andalucia,Apple,iPhone 13,1,307.79,307.79
286,1/11/2025,Castilla y Leon,Apple,iPhone 15,4,1336.83,5347.32
287,7/10/2025,Andalucia,Samsung,Galaxy Z Flip,3,615.02,1845.06
288,12/20/2025,Andalucia,Samsung,Galaxy Z Flip,3,647.54,1942.62
289,2/23/2023,Cataluña,Xiaomi,Redmi Note 12,2,773.8,1547.6
290,6/20/2024,Cataluña,OPPO,A78,3,1030.05,3090.15
291,10/2/2025,Galicia,Apple,iPhone 15,2,303.3,606.6
292,6/30/2025,Andalucia,Samsung,Galaxy A54,1,1163.14,1163.14
293,5/13/2023,Castilla y Leon,Xiaomi,Poco X5,5,827.71,4138.55
294,1/10/2025,Andalucia,Xiaomi,Redmi Note 12,5,430.3,2151.5
295,10/8/2025,Valencia,Apple,iPhone 13,1,601.12,601.12
296,9/23/2023,Castilla La Mancha,Motorola,G82,5,1255.31,6276.55
297,9/7/2025,Pais Vasco,Samsung,Galaxy A54,5,663.49,3317.45
298,9/14/2023,Cataluña,OPPO,A78,3,952.92,2858.76
299,9/20/2023,Castilla y Leon,OPPO,Find X5,5,949.74,4748.7
300,10/26/2025,Pais Vasco,Apple,iPhone 13,1,1189.24,1189.24
301,12/4/2023,Galicia,Motorola,Edge 40,2,553.33,1106.66
302,6/11/2023,Galicia,Apple,iPhone 14,3,395.38,1186.14
303,9/12/2024,Andalucia,Motorola,G82,5,816.85,4084.25
304,11/12/2023,Andalucia,Motorola,Razr 40,2,973.42,1946.84
305,2/28/2023,Madrid,Motorola,G82,1,206.83,206.83
306,5/3/2025,Valencia,Motorola,G82,5,948.74,4743.7
307,9/10/2024,Galicia,OPPO,A78,4,456.1,1824.4
308,5/30/2023,Castilla La Mancha,OPPO,Find X5,1,347.6,347.6
309,2/22/2024,Castilla La Mancha,OPPO,Find X5,3,908.33,2724.99
310,12/8/2024,Castilla y Leon,Xiaomi,Poco X5,4,313.46,1253.84
311,10/15/2024,Cataluña,Xiaomi,Poco X5,2,733.09,1466.18
312,10/16/2023,Valencia,Xiaomi,Mi 11,1,213.26,213.26
313,5/23/2024,Pais Vasco,OPPO,A78,2,1166.85,2333.7
314,1/24/2024,Castilla y Leon,Motorola,Razr 40,2,772.83,1545.66
315,9/23/2024,Castilla La Mancha,Motorola,G82,4,178.97,715.88
316,5/8/2024,Castilla La Mancha,OPPO,A78,2,879.18,1758.36
317,10/10/2025,Galicia,Samsung,Galaxy S21,5,1252.92,6264.6
318,8/9/2023,Madrid,OPPO,Find X5,4,317.42,1269.68
319,4/5/2025,Castilla y Leon,Xiaomi,Poco X5,3,206.55,619.65
320,1/12/2025,Valencia,Samsung,Galaxy Z Flip,5,510.75,2553.75
321,7/26/2024,Castilla La Mancha,OPPO,A78,5,1000.5,5002.5
322,3/17/2025,Cataluña,Samsung,Galaxy S21,3,1143.62,3430.86
323,10/23/2023,Castilla y Leon,Xiaomi,Poco X5,2,903.08,1806.16
324,4/3/2023,Madrid,OPPO,A78,1,321.3,321.3
325,11/2/2023,Castilla La Mancha,Xiaomi,Mi 11,5,1266.41,6332.05
326,11/29/2023,Castilla y Leon,Apple,iPhone 14,4,1388.27,5553.08
327,11/4/2025,Castilla y Leon,Xiaomi,Poco X5,5,815.42,4077.1
328,2/4/2023,Castilla La Mancha,Motorola,G82,3,564.05,1692.15
329,2/24/2023,Galicia,Samsung,Galaxy A54,5,743.24,3716.2
330,4/16/2023,Valencia,Motorola,Razr 40,5,750.56,3752.8
331,10/30/2023,Pais Vasco,Motorola,Razr 40,2,189.46,378.92
332,6/22/2025,Madrid,Samsung,Galaxy S21,3,673.48,2020.44
333,4/20/2025,Valencia,OPPO,A78,5,1118.72,5593.6
334,10/10/2023,Madrid,OPPO,A78,5,409.18,2045.9
335,12/12/2025,Castilla La Mancha,Xiaomi,Poco X5,4,542.19,2168.76
336,12/26/2024,Castilla y Leon,Apple,iPhone 14,3,912.6,2737.8
337,9/3/2024,Galicia,Apple,iPhone 13,2,1326.86,2653.72
338,9/28/2025,Valencia,Xiaomi,Mi 11,3,749.75,2249.25
339,8/12/2024,Galicia,Motorola,Razr 40,1,866.85,866.85
340,12/7/2024,Pais Vasco,Motorola,G82,2,513.07,1026.14
341,12/10/2024,Cataluña,Xiaomi,Poco X5,4,969.97,3879.88
342,7/9/2024,Valencia,OPPO,Reno 8,5,1020.21,5101.05
343,5/11/2024,Valencia,Apple,iPhone 13,1,987.29,987.29
344,4/18/2023,Valencia,Motorola,Edge 40,1,666.63,666.63
345,1/11/2023,Andalucia,OPPO,Reno 8,5,1372.39,6861.95
346,9/4/2025,Castilla La Mancha,Apple,iPhone 14,2,1094.89,2189.78
347,5/2/2023,Galicia,Xiaomi,Mi 11,1,965.37,965.37
348,12/25/2023,Madrid,Apple,iPhone 15,4,1252.81,5011.24
349,10/11/2025,Pais Vasco,Apple,iPhone 13,2,1320.76,2641.52
350,9/3/2024,Madrid,Xiaomi,Redmi Note 12,5,903.48,4517.4
351,12/9/2025,Castilla La Mancha,Xiaomi,Mi 11,4,1261.57,5046.28
352,7/12/2024,Castilla La Mancha,Apple,iPhone 15,2,1161.02,2322.04
353,6/10/2024,Castilla La Mancha,Xiaomi,Redmi Note 12,2,167.61,335.22
354,12/26/2023,Valencia,Xiaomi,Mi 11,5,1220.18,6100.9
355,6/27/2023,Castilla y Leon,OPPO,Find X5,4,986.57,3946.28
356,10/24/2024,Castilla La Mancha,Apple,iPhone 13,2,158.54,317.08
357,6/30/2024,Castilla La Mancha,OPPO,Reno 8,3,527.43,1582.29
358,1/6/2025,Galicia,Motorola,Edge 40,2,227.66,455.32
359,11/24/2023,Galicia,Samsung,Galaxy A54,4,1007.59,4030.36
360,8/27/2024,Cataluña,Xiaomi,Poco X5,3,918.28,2754.84
361,11/10/2023,Castilla La Mancha,Apple,iPhone 13,4,1084.67,4338.68
362,8/22/2025,Pais Vasco,Motorola,G82,5,1152.49,5762.45
363,12/12/2025,Cataluña,Apple,iPhone 13,4,810.22,3240.88
364,5/7/2023,Cataluña,Xiaomi,Redmi Note 12,5,1278.61,6393.05
